City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Olafsvik,IS,2022-07-26 05:08:50,64.8945,-23.7142,283.8,87,100,3.81
98,Kochi,IN,2022-07-26 05:08:50,9.9399,76.2602,304.83,74,99,4.86
99,Linhares,BR,2022-07-26 05:08:51,-19.3911,-40.0722,291.09,96,2,1.34
100,Avarua,CK,2022-07-26 05:08:51,-21.2078,-159.775,294.18,68,20,2.57
101,Viransehir,TR,2022-07-26 05:08:52,37.2353,39.7631,305.67,12,0,1.39
102,Panaba,MX,2022-07-26 05:08:52,21.2833,-88.2667,297.56,88,29,3.0
103,Cherskiy,RU,2022-07-26 05:08:53,68.75,161.3,285.39,44,55,8.41
104,Cape Town,ZA,2022-07-26 05:05:45,-33.9258,18.4232,287.66,59,5,1.47
105,Henties Bay,NA,2022-07-26 05:08:54,-22.116,14.2845,284.65,95,18,1.03
106,Adrar,MR,2022-07-26 05:08:54,20.5022,-10.0711,304.2,39,50,3.89
107,Seoul,KR,2022-07-26 05:04:37,37.5683,126.9778,307.81,43,11,1.6
108,Ushtobe,KZ,2022-07-26 05:08:55,45.2514,77.9838,304.06,13,89,5.34
109,Rawson,AR,2022-07-26 05:08:55,-43.3002,-65.1023,280.64,96,99,0.65
110,Taltal,CL,2022-07-26 05:08:56,-25.4,-70.4833,286.77,84,18,1.04
111,Mukhen,RU,2022-07-26 05:08:56,48.1,136.1,298.88,70,81,2.16
112,Pisco,PE,2022-07-26 05:05:33,-13.7,-76.2167,288.18,88,71,2.06
113,Pevek,RU,2022-07-26 05:08:57,69.7008,170.3133,276.6,74,73,5.96
114,Jefferson City,US,2022-07-26 05:08:57,38.5767,-92.1735,291.96,93,91,4.57
115,Upernavik,GL,2022-07-26 05:08:58,72.7868,-56.1549,276.07,90,68,4.34
116,Quelimane,MZ,2022-07-26 05:08:59,-17.8786,36.8883,292.89,88,97,3.7
117,Pangnirtung,CA,2022-07-26 05:08:59,66.1451,-65.7125,279.06,87,49,1.12
118,Dahuk,IQ,2022-07-26 05:08:59,36.8695,42.994,305.84,14,0,1.54
